dec	ra	nhits	beta	lambda	lambda1	costheta	azimuth	logdEdX	Lmu	run	eventID	selector 	
-71.80550	143.25307	56	0.80864	-4.88	-4.881	0.70220	242.97619	2.465	514.6	27894 40963000024975 0
-80.39431	255.93150	28	0.81011	-4.67	-4.674	0.67169	255.07617	1.685	489.7	27981 29296000017527 0
24.29110	64.44093	31	0.79866	-5.08	-5.082	0.37796	77.82997	2.077	384.8	28061 138065000037114 0
-5.97354	343.10913	26	0.48313	-4.92	-4.920	0.33749	8.57926	1.820	389.9	28066 32623000061651 0
-6.69043	116.66987	35	0.47822	-4.91	-4.907	0.68734	136.99495	1.642	499.8	28071 54269000090796 0
-32.87274	68.61201	53	0.21101	-4.27	-4.270	0.92318	15.55429	1.618	615.7	28109 127264000029630 0
-53.98081	264.28046	45	0.93627	-5.11	-5.114	0.53741	223.89414	2.409	436.1	28110 131600000034989 0
-18.19260	192.63753	25	0.43905	-4.95	-4.946	0.57293	5.37076	1.728	449.0	28247 68970000001302 0
-6.19102	180.86729	35	0.28847	-4.53	-4.530	0.76171	118.73340	1.708	565.2	28280 161454000095584 0
-0.14109	12.28205	41	0.76312	-5.17	-5.165	0.72917	77.55363	1.672	536.8	28303 136563000111575 0
-64.15231	244.23493	66	0.41985	-4.17	-4.173	0.35043	283.63866	2.374	393.8	28341 8839000191540 0
-15.79013	272.59106	46	0.25165	-4.81	-4.815	0.81759	135.95143	1.622	569.4	28348 105521000234703 0
-24.13727	271.96739	25	0.60486	-5.13	-5.131	0.78527	162.15638	1.899	587.4	28354 488000000017 0
-19.10977	55.32299	50	0.70428	-4.98	-4.982	0.91207	74.71884	2.177	623.2	28387 16360000006184 0
-42.88410	219.04624	50	0.81060	-5.18	-5.183	0.38139	216.53044	2.656	398.1	28387 151731000010533 0
-6.23226	74.29177	22	0.54632	-5.04	-5.044	0.49940	19.38162	1.752	409.7	28387 170453000011207 0
-17.47012	185.21909	34	0.49172	-5.04	-5.045	0.89139	64.46994	2.226	619.6	28404 121366000041522 0
-10.77191	278.63395	56	0.79121	-4.49	-4.495	0.70575	32.34091	2.288	506.2	28446 117249000099416 0
15.02833	263.37080	44	0.41124	-4.92	-4.917	0.32976	133.84087	1.914	389.5	28451 22287000118369 0
-51.87800	295.72275	69	0.28243	-4.30	-4.303	0.98350	241.11150	1.618	578.0	28503 45006000001656 0
-33.05978	26.91618	65	0.65814	-4.98	-4.983	0.96889	36.69919	1.940	586.7	28583 92072000005098 0
-6.02578	72.81788	25	0.68154	-5.17	-5.174	0.79703	78.37769	1.767	529.0	28616 26550000002495 0
-13.41172	64.87303	31	0.43282	-4.95	-4.952	0.83215	53.19117	1.615	506.4	28648 129949000001523 0
-1.31869	342.80393	27	0.40946	-4.91	-4.913	0.55433	142.61178	1.679	437.7	28688 143394000001458 0
-2.71909	40.27323	25	0.92353	-4.70	-4.697	0.76429	84.86660	2.063	517.2	28715 157130000001606 0
-80.86380	305.85496	24	0.66715	-4.88	-4.876	0.55403	268.44221	1.798	439.9	28716 168888000001712 0
-3.26294	214.85293	60	0.35195	-4.09	-4.091	0.45022	20.34975	2.458	412.1	28723 102921000001027 0
12.67689	146.80693	38	0.60286	-4.97	-4.974	0.55242	74.36452	2.122	440.9	28727 145213000001352 0
